sample_order,score_100,publication,critic,date,review_url
1,70,The Observer (UK),Wendy Ide,2026-08-01,https://observer.co.uk/culture/film/article/spider-man-for-the-burnout-generation
2,63,ReelViews,James Berardinelli,2026-07-31,http://www.reelviews.net/reelviews/spider-man-brand-new-day
3,75,The Travers Take,Peter Travers,2026-07-31,https://www.thetraverstake.com/featured/spider-man-brand-new-day/
4,70,ScreenCrush,Matt Singer,2026-07-31,https://screencrush.com/spider-man-brand-new-day-review/
5,63,LarsenOnFilm,Josh Larsen,2026-07-30,https://larsenonfilm.com/spider-man-brand-new-day
6,50,The Reveal,Scott Tobias,2026-07-30,https://thereveal.film/in-review-spider-man-brand-new-day-i-want-your-sex/
7,70,Los Angeles Times,Amy Nicholson,2026-07-30,https://www.latimes.com/entertainment-arts/movies/story/2026-07-30/spider-man-brand-new-day-review-tom-holland-zendaya-sadie-sink-destin-daniel-cretton
8,40,Wall Street Journal,Kyle Smith,2026-07-30,https://www.wsj.com/arts-culture/film/spider-man-brand-new-day-review-tom-hollands-bleak-peter-parker-2a684aa5
9,75,Chicago Tribune,Katie Walsh,2026-07-30,https://www.chicagotribune.com/2026/07/30/review-spider-man-brand-new-day/
10,40,The Atlantic,David Sims,2026-07-30,https://www.theatlantic.com/culture/2026/07/spider-man-brand-new-day-movie-review/688114/
11,40,New York Magazine (Vulture),Alison Willmore,2026-07-30,https://www.vulture.com/article/when-will-the-movies-let-tom-holland-grow-up.html
12,38,Movie Nation,Roger Moore,2026-07-30,https://rogersmovienation.com/2026/07/31/movie-review-same-ol-spider-man-brand-new-day-or-not/
13,91,Original-Cin,Chris Knight,2026-07-29,https://www.original-cin.ca/posts/2026/7/29/spider-man-brand-new-day-the-stakes-are-low-just-the-way-we-like-it
14,80,NME,Victoria Luxford,2026-07-29,https://www.nme.com/reviews/film-reviews/spider-man-brand-new-day-review-is-tom-holland-marvels-new-super-saviour-3959622
15,70,Film Threat,Alan Ng,2026-07-29,https://filmthreat.com/reviews/spider-man-brand-new-day/
16,50,Little White Lies,Laura Venning,2026-07-29,https://lwlies.com/reviews/spider-man-brand-new-day
17,67,AwardsWatch,Karen Peterson,2026-07-28,
18,82,The Film Verdict,Alonso Duralde,2026-07-28,https://thefilmverdict.com/spider-man-brand-new-day-film-review
19,83,Consequence,Liz Shannon Miller,2026-07-28,https://consequence.net/2026/07/spider-man-brand-new-day-review-marvel/
20,85,TheWrap,William Bibbiani,2026-07-28,https://www.thewrap.com/creative-content/movies/spider-man-brand-new-day-review-tom-holland-zendaya/
21,59,The Globe and Mail (Toronto),Barry Hertz,2026-07-28,https://www.theglobeandmail.com/culture/film-and-tv/film/article-spider-man-brand-new-day-review/
22,92,Polygon,Jake Kleinman,2026-07-28,https://www.polygon.com/spider-man-brand-new-day-review/
23,70,IGN,Tom Jorgensen,2026-07-28,https://www.ign.com/articles/spider-man-brand-new-day-review
24,63,RogerEbert.com,Brian Tallerico,2026-07-28,https://www.rogerebert.com/reviews/spider-man-brand-new-day-2026-movie-review
25,70,Screen Rant,Graeme Guttmann,2026-07-28,https://screenrant.com/spider-man-brand-new-day-movie-review/
26,80,Collider,Charlie Ridgely,2026-07-28,https://collider.com/spider-man-brand-new-day-review-marvel-tom-holland/
27,63,Slant Magazine,Jake Cole,2026-07-28,https://www.slantmagazine.com/film/spider-man-brand-new-day-review-tom-holland-zendaya/
28,88,New York Post,Johnny Oleksinski,2026-07-28,https://nypost.com/2026/07/28/entertainment/spider-man-brand-new-day-review-marvels-only-good-series-is-back-after-5-years/
29,42,IndieWire,David Ehrlich,2026-07-28,https://www.indiewire.com/criticism/movies/spider-man-brand-new-day-review-1235207238/
30,70,Slashfilm,Jeremy Mathai,2026-07-28,https://www.slashfilm.com/2224901/spider-man-brand-new-day-review-tom-holland-marvel/
31,80,The Independent,Clarisse Loughrey,2026-07-28,https://www.the-independent.com/arts-entertainment/films/reviews/spider-man-brand-new-day-review-b3023007.html
32,80,The Hollywood Reporter,David Rooney,2026-07-28,https://www.hollywoodreporter.com/movies/movie-reviews/spider-man-brand-new-day-review-tom-holland-zendaya-1236657988/
33,75,USA Today,Brian Truitt,2026-07-28,https://www.usatoday.com/story/entertainment/movies/2026/07/28/spider-man-brand-new-day-movie-review/90993599007/
34,80,Total Film,Jordan Farley,2026-07-28,https://www.gamesradar.com/entertainment/marvel-movies/spider-man-brand-new-day-review/
35,80,Empire,John Nugent,2026-07-28,https://www.empireonline.com/movies/reviews/spider-man-brand-new-day/
36,85,The Daily Beast,Nick Schager,2026-07-28,https://www.thedailybeast.com/obsessed/spider-man-brand-new-day-the-superheros-latest-is-his-best-mcu-adventure-yet/
37,60,Variety,Owen Gleiberman,2026-07-28,https://variety.com/2026/film/reviews/spider-man-brand-new-day-review-tom-holland-zendaya-1236821873/
38,70,Next Best Picture,Giovanni Lago,2026-07-28,https://nextbestpicture.com/spider-man-brand-new-day/
39,60,The Guardian,Peter Bradshaw,2026-07-28,https://www.theguardian.com/film/2026/jul/28/spider-man-brand-new-day-review-zendaya-saves-tom-hollands-semi-cronenberg-style-superhero
40,80,Screen Daily,Tim Grierson,2026-07-28,https://www.screendaily.com/reviews/spider-man-brand-new-day-review-thrilling-marvel-sequel-offers-spectacle-and-emotion-in-equal-measure/5218938.article
41,83,The A.V. Club,Jesse Hassenger,2026-07-28,https://www.avclub.com/spider-man-brand-new-day-review
42,88,The Seattle Times,Dominic Baez,2026-07-28,https://www.seattletimes.com/entertainment/movies/spider-man-brand-new-day-review-a-thrilling-evolution-in-the-mcu/
43,63,Boston Globe,Odie Henderson,2026-07-28,https://www.bostonglobe.com/2026/07/28/arts/spider-man-brand-new-day-review/
44,60,The Times,Kevin Maher,2026-07-28,https://www.thetimes.com/culture/film/article/spider-man-brand-new-day-review-tom-holland-kcchqdlx9
45,85,Looper,Reuben Baron,2026-07-28,https://www.looper.com/2225024/spider-man-brand-new-day-review/
46,60,Time Out,Phil de Semlyen,2026-07-28,https://www.timeout.com/movies/spider-man-brand-new-day-review-2026
47,60,The Irish Times,Donald Clarke,2026-07-28,https://www.irishtimes.com/culture/film/review/2026/07/28/spider-man-brand-new-day-review-summery-fun-but-it-might-as-well-have-a-barcode-on-screen/
48,50,Rolling Stone,David Fear,2026-07-28,https://www.rollingstone.com/tv-movies/tv-movie-reviews/spider-man-brand-new-day-review-mcu-1235592690/
49,63,The Associated Press,Jocelyn Noveck,2026-07-28,https://apnews.com/article/spiderman-brand-new-day-movie-review-cc086ad7c68fd14300877f98b963d2a6
